550.39	101
551.24	96
552.10	97
552.95	77
553.81	83
554.66	87
555.52	74
556.37	107
557.23	97
558.08	90
558.94	84
559.79	91
560.65	80
561.50	111
562.36	101
563.21	94
564.07	92
564.92	86
565.78	91
566.63	110
567.49	87
568.34	87
569.20	80
570.05	105
570.91	97
571.76	119
572.62	100
573.47	100
574.33	104
575.18	110
576.04	92
576.89	82
577.75	118
578.60	121
579.46	108
580.31	118
581.17	113
582.02	108
582.88	113
583.73	120
584.59	98
585.44	102
586.30	102
587.15	125
588.01	99
588.86	108
589.72	120
590.57	98
591.43	138
592.28	113
593.14	111
593.99	127
594.85	129
595.70	112
596.56	125
597.41	114
598.27	117
599.12	102
599.98	119
600.83	116
601.69	139
602.54	122
603.40	123
604.25	140
605.11	121
605.96	131
606.82	131
607.67	125
608.53	132
609.38	138
610.24	121
611.09	118
611.95	154
612.80	159
613.66	113
614.51	167
615.37	135
616.22	133
617.08	139
617.93	116
618.79	135
619.64	145
620.50	143
621.35	165
622.21	165
623.06	155
623.92	167
624.77	186
625.63	173
626.48	172
627.34	170
628.19	191
629.05	189
629.90	199
630.76	230
631.61	187
632.47	223
633.32	215
634.18	226
635.03	267
635.89	258
636.74	261
637.60	291
638.45	272
639.31	280
640.16	293
641.02	323
641.87	320
642.73	380
643.58	361
644.44	380
645.29	370
646.15	376
647.00	382
647.86	460
648.71	474
649.57	463
650.42	483
651.28	497
652.13	514
652.99	500
653.84	498
654.70	579
655.55	542
656.41	592
657.26	577
658.12	619
658.97	663
659.83	635
660.68	673
661.54	698
662.39	683
663.25	667
664.10	645
664.96	697
665.81	718
666.67	688
667.52	686
668.38	726
669.23	725
670.09	729
670.94	685
671.80	671
672.65	680
673.51	715
674.36	682
675.22	672
676.07	680
676.93	652
677.78	673
678.64	658
679.49	625
680.35	628
681.20	627
682.06	573
682.91	610
683.77	567
684.62	561
685.48	547
686.33	487
687.19	513
688.04	467
688.90	445
689.75	463
690.61	433
691.46	455
692.32	402
693.17	405
694.03	374
694.88	346
695.74	303
696.59	318
697.45	285
698.30	292
699.16	273
700.01	268
700.87	266
701.72	235
702.58	232
703.43	221
704.29	182
705.14	188
706.00	190
706.85	149
707.71	124
708.56	146
709.42	137
710.27	144
711.13	122
711.98	137
712.84	104
713.69	83
714.55	94
715.40	102
716.26	81
717.11	69
717.97	93
718.82	79
719.68	63
720.53	73
721.39	65
722.24	67
723.10	61
723.95	53
724.81	52
725.66	57
726.52	59
727.37	56
728.23	60
729.08	52
729.94	41
730.79	45
731.65	41
732.50	43
733.36	42
734.21	47
735.07	42
735.92	43
736.78	43
737.63	44
738.49	36
739.34	52
740.20	38
741.05	40
741.91	45
742.76	37
743.62	46
744.47	41
745.33	35
746.18	46
747.04	45
747.89	36
748.75	34
749.60	36
750.46	50
